dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
100,50,10,10,1,11.289947,.242053,207.284
100,50,10,10,2,11.365023,.274977,207.284
100,50,10,10,3,11.508899,.260101,207.284
100,50,10,10,4,11.305057,.252943,207.284
100,50,10,10,5,11.350562,.300438,207.284
100,50,10,10,6,11.667613,.293387,207.284
100,50,10,10,7,11.317251,.352749,207.284
100,50,10,10,8,11.515147,.258853,207.284
100,50,10,10,9,11.354523,.283477,207.284
100,50,10,10,10,11.313255,.263745,207.284
