dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
100,50,10,0,1,11.303282,1.324718,128.880
100,50,10,0,2,11.354609,1.054391,128.880
100,50,10,0,3,12.307433,1.125567,128.880
100,50,10,0,4,11.267879,1.096121,128.880
100,50,10,0,5,11.425807,1.469193,128.880
100,50,10,0,6,11.294701,1.101299,128.880
100,50,10,0,7,11.473118,1.680882,128.880
100,50,10,0,8,11.463249,1.507751,128.880
100,50,10,0,9,11.283566,1.592434,128.880
100,50,10,0,10,11.808029,1.664971,128.880
