dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
90,40,10,5,1,6.539976,.242024,114.102
90,40,10,5,2,6.593521,.266479,114.102
90,40,10,5,3,6.602270,.313730,114.102
90,40,10,5,4,6.646189,.246811,114.102
90,40,10,5,5,6.608338,.284662,114.102
90,40,10,5,6,6.641356,.290644,114.102
90,40,10,5,7,6.561769,.247231,114.102
90,40,10,5,8,6.634829,.237171,114.102
90,40,10,5,9,6.630547,.244453,114.102
90,40,10,5,10,6.621809,.238191,114.102
