dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
15,10,10,10,1,0.008265,1.058735,101.885
15,10,10,10,2,0.008378,1.104622,101.885
15,10,10,10,3,0.008758,1.091242,101.885
15,10,10,10,4,0.008371,1.103629,101.885
15,10,10,10,5,0.008219,1.149781,101.885
15,10,10,10,6,0.008321,1.087679,101.885
15,10,10,10,7,0.008273,1.090727,101.885
15,10,10,10,8,0.008334,1.104666,101.885
15,10,10,10,9,0.008320,1.300680,101.885
15,10,10,10,10,0.008352,1.109648,101.885
