dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
100,50,10,0,1,11.332022,.237978,116.399
100,50,10,0,2,11.423431,.229569,116.399
100,50,10,0,3,11.330753,.263247,116.399
100,50,10,0,4,11.381351,.239649,116.399
100,50,10,0,5,11.320198,.294802,116.399
100,50,10,0,6,11.342269,.313731,116.399
100,50,10,0,7,11.301444,.345556,116.399
100,50,10,0,8,11.287003,.246997,116.399
100,50,10,0,9,11.366946,.210054,116.399
100,50,10,0,10,11.396467,.291533,116.399
