dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
100,60,10,10,1,13.600303,.247697,229.470
100,60,10,10,2,13.506113,.360887,229.470
100,60,10,10,3,13.573216,.249784,229.470
100,60,10,10,4,13.555212,.237788,229.470
100,60,10,10,5,13.782370,.240630,229.470
100,60,10,10,6,13.607881,.240119,229.470
100,60,10,10,7,13.671738,.246262,229.470
100,60,10,10,8,13.753970,.290030,229.470
100,60,10,10,9,13.666478,.270522,229.470
100,60,10,10,10,13.644203,.266797,229.470
