dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
100,50,50,0,1,11.332848,.228152,582.957
100,50,50,0,2,11.338612,.231388,582.957
100,50,50,0,3,11.412716,.300284,582.957
100,50,50,0,4,11.365506,.260494,582.957
100,50,50,0,5,11.375871,.236129,582.957
100,50,50,0,6,11.363329,.245671,582.957
100,50,50,0,7,11.385949,.245051,582.957
100,50,50,0,8,11.255726,.257274,582.957
100,50,50,0,9,11.412333,.246667,582.957
100,50,50,0,10,11.436345,.260655,582.957
100,50,50,0,11,11.381044,.264956,582.957
100,50,50,0,12,11.210081,.257919,582.957
100,50,50,0,13,11.327403,.241597,582.957
100,50,50,0,14,11.232475,.256525,582.957
100,50,50,0,15,11.312027,.255973,582.957
100,50,50,0,16,11.424918,.256082,582.957
100,50,50,0,17,11.393550,.233450,582.957
100,50,50,0,18,11.373147,.245853,582.957
100,50,50,0,19,11.631588,.250412,582.957
100,50,50,0,20,11.515632,.237368,582.957
100,50,50,0,21,11.436169,.225831,582.957
100,50,50,0,22,11.339939,.253061,582.957
100,50,50,0,23,11.340237,.264763,582.957
100,50,50,0,24,11.288461,.233539,582.957
100,50,50,0,25,11.298933,.238067,582.957
100,50,50,0,26,11.367644,.900356,582.957
100,50,50,0,27,11.276333,.280667,582.957
100,50,50,0,28,11.322522,.260478,582.957
100,50,50,0,29,11.335726,.301274,582.957
100,50,50,0,30,11.501645,.278355,582.957
100,50,50,0,31,11.374938,.246062,582.957
100,50,50,0,32,11.304716,.265284,582.957
100,50,50,0,33,11.258038,.262962,582.957
100,50,50,0,34,11.372835,.248165,582.957
100,50,50,0,35,11.337577,.239423,582.957
100,50,50,0,36,11.331612,.259388,582.957
100,50,50,0,37,11.229578,.242422,582.957
100,50,50,0,38,11.527699,.259301,582.957
100,50,50,0,39,11.280343,.249657,582.957
100,50,50,0,40,11.310852,.252148,582.957
100,50,50,0,41,11.805637,.256363,582.957
100,50,50,0,42,11.267202,.254798,582.957
100,50,50,0,43,11.454606,.255394,582.957
100,50,50,0,44,11.367128,.250872,582.957
100,50,50,0,45,11.341131,.265869,582.957
100,50,50,0,46,11.554102,.229898,582.957
100,50,50,0,47,11.430047,.241953,582.957
100,50,50,0,48,11.314928,.261072,582.957
100,50,50,0,49,11.341577,.252423,582.957
100,50,50,0,50,11.410054,.259946,582.957
