dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
50,20,100,0,1,0.574714,.382286,88.574
50,20,100,0,2,0.576243,.396757,88.574
50,20,100,0,3,0.583276,.306724,88.574
50,20,100,0,4,0.572155,.380845,88.574
50,20,100,0,5,0.567704,.327296,88.574
50,20,100,0,6,0.583489,.433511,88.574
50,20,100,0,7,0.567229,.429771,88.574
50,20,100,0,8,0.580422,.496578,88.574
50,20,100,0,9,0.582710,.246290,88.574
50,20,100,0,10,0.577045,.242955,88.574
50,20,100,0,11,0.575650,.239350,88.574
50,20,100,0,12,0.570583,.252417,88.574
50,20,100,0,13,0.574027,.254973,88.574
50,20,100,0,14,0.572070,.274930,88.574
50,20,100,0,15,0.576519,.239481,88.574
50,20,100,0,16,0.579327,.264673,88.574
50,20,100,0,17,0.573210,.304790,88.574
50,20,100,0,18,0.572994,.257006,88.574
50,20,100,0,19,0.570205,.249795,88.574
50,20,100,0,20,0.574167,.249833,88.574
50,20,100,0,21,0.574858,.283142,88.574
50,20,100,0,22,0.572400,.251600,88.574
50,20,100,0,23,0.570860,.296140,88.574
50,20,100,0,24,0.572383,.325617,88.574
50,20,100,0,25,0.569211,.242789,88.574
50,20,100,0,26,0.576544,.314456,88.574
50,20,100,0,27,0.566415,.311585,88.574
50,20,100,0,28,0.589406,.323594,88.574
50,20,100,0,29,0.583235,.251765,88.574
50,20,100,0,30,0.576632,.242368,88.574
50,20,100,0,31,0.581790,.264210,88.574
50,20,100,0,32,0.583900,.253100,88.574
50,20,100,0,33,0.571693,.288307,88.574
50,20,100,0,34,0.575515,.250485,88.574
50,20,100,0,35,0.573085,.294915,88.574
50,20,100,0,36,0.570493,.311507,88.574
50,20,100,0,37,0.628624,.365376,88.574
50,20,100,0,38,0.586323,.249677,88.574
50,20,100,0,39,0.590389,.286611,88.574
50,20,100,0,40,0.583095,.232905,88.574
50,20,100,0,41,0.576106,.256894,88.574
50,20,100,0,42,0.606814,.304186,88.574
50,20,100,0,43,0.583536,.260464,88.574
50,20,100,0,44,0.583276,.367724,88.574
50,20,100,0,45,0.579910,.258090,88.574
50,20,100,0,46,0.585905,.249095,88.574
50,20,100,0,47,0.566568,.255432,88.574
50,20,100,0,48,0.569211,.260789,88.574
50,20,100,0,49,0.578163,.354837,88.574
50,20,100,0,50,0.573818,.246182,88.574
50,20,100,0,51,0.582868,.281132,88.574
50,20,100,0,52,0.569359,.308641,88.574
50,20,100,0,53,0.579865,.250135,88.574
50,20,100,0,54,0.573722,.275278,88.574
50,20,100,0,55,0.572793,.257207,88.574
50,20,100,0,56,0.565828,.247172,88.574
50,20,100,0,57,0.570734,.286266,88.574
50,20,100,0,58,0.573083,.330917,88.574
50,20,100,0,59,0.568862,.254138,88.574
50,20,100,0,60,0.572829,.293171,88.574
50,20,100,0,61,0.572410,.324590,88.574
50,20,100,0,62,0.564166,.329834,88.574
50,20,100,0,63,0.576307,.249693,88.574
50,20,100,0,64,0.573966,.240034,88.574
50,20,100,0,65,0.575654,.250346,88.574
50,20,100,0,66,0.572593,.260407,88.574
50,20,100,0,67,0.582065,.304935,88.574
50,20,100,0,68,0.578246,.284754,88.574
50,20,100,0,69,0.575717,.250283,88.574
50,20,100,0,70,0.575687,.248313,88.574
50,20,100,0,71,0.571419,.308581,88.574
50,20,100,0,72,0.571460,.300540,88.574
50,20,100,0,73,0.572013,.350987,88.574
50,20,100,0,74,0.577527,.233473,88.574
50,20,100,0,75,0.570491,.323509,88.574
50,20,100,0,76,0.573978,.245022,88.574
50,20,100,0,77,0.574499,.259501,88.574
50,20,100,0,78,0.573535,.335465,88.574
50,20,100,0,79,0.569324,.339676,88.574
50,20,100,0,80,0.575525,.326475,88.574
50,20,100,0,81,0.580046,.255954,88.574
50,20,100,0,82,0.570657,.251343,88.574
50,20,100,0,83,0.576769,.253231,88.574
50,20,100,0,84,0.572233,.271767,88.574
50,20,100,0,85,0.577622,.255378,88.574
50,20,100,0,86,0.574856,.259144,88.574
50,20,100,0,87,0.572246,.245754,88.574
50,20,100,0,88,0.578476,.236524,88.574
50,20,100,0,89,0.574794,.248206,88.574
50,20,100,0,90,0.576430,.251570,88.574
50,20,100,0,91,0.580092,.236908,88.574
50,20,100,0,92,0.577789,.292211,88.574
50,20,100,0,93,0.598664,.290336,88.574
50,20,100,0,94,0.566658,.322342,88.574
50,20,100,0,95,0.577303,.257697,88.574
50,20,100,0,96,0.584058,.278942,88.574
50,20,100,0,97,0.579662,.326338,88.574
50,20,100,0,98,0.577316,.231684,88.574
50,20,100,0,99,0.571806,.262194,88.574
50,20,100,0,100,0.571734,.254266,88.574
