dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
100,60,10,0,1,13.604912,.294088,139.615
100,60,10,0,2,13.722075,.249925,139.615
100,60,10,0,3,13.544814,.241186,139.615
100,60,10,0,4,13.816033,.306967,139.615
100,60,10,0,5,13.732064,.312936,139.615
100,60,10,0,6,13.573326,.251674,139.615
100,60,10,0,7,13.572147,.314853,139.615
100,60,10,0,8,13.661427,.346573,139.615
100,60,10,0,9,13.752589,.261411,139.615
100,60,10,0,10,13.534952,.283048,139.615
