dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
15,10,10,10,1,0.008297,1.031703,104.718
15,10,10,10,2,0.008254,1.311746,104.718
15,10,10,10,3,0.008520,1.183480,104.718
15,10,10,10,4,0.008412,1.239588,104.718
15,10,10,10,5,0.008394,1.163606,104.718
15,10,10,10,6,0.008470,1.991530,104.718
15,10,10,10,7,0.008380,1.131620,104.718
15,10,10,10,8,0.008343,1.365657,104.718
15,10,10,10,9,0.008400,1.285600,104.718
15,10,10,10,10,0.008364,2.442636,104.718
