dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
15,10,10,10,1,0.008598,.241402,93.125
15,10,10,10,2,0.008470,.241530,93.125
15,10,10,10,3,0.008335,.255665,93.125
15,10,10,10,4,0.008452,.261548,93.125
15,10,10,10,5,0.008290,.262710,93.125
15,10,10,10,6,0.008355,.261645,93.125
15,10,10,10,7,0.008402,.255598,93.125
15,10,10,10,8,0.008244,.267756,93.125
15,10,10,10,9,0.008883,.248117,93.125
15,10,10,10,10,0.008301,.245699,93.125
