dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
15,10,10,2,1,0.008504,1.049496,30.911
15,10,10,2,2,0.008522,1.111478,30.911
15,10,10,2,3,0.008235,1.064765,30.911
15,10,10,2,4,0.008545,1.101455,30.911
15,10,10,2,5,0.008283,1.081717,30.911
15,10,10,2,6,0.008517,1.099483,30.911
15,10,10,2,7,0.008308,1.072692,30.911
15,10,10,2,8,0.008205,1.824795,30.911
15,10,10,2,9,0.008389,1.377611,30.911
15,10,10,2,10,0.008235,1.558765,30.911
