dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
30,20,100,0,1,0.124952,.232048,40.984
30,20,100,0,2,0.125844,.342156,40.984
30,20,100,0,3,0.125220,.404780,40.984
30,20,100,0,4,0.127082,.293918,40.984
30,20,100,0,5,0.125907,.226093,40.984
30,20,100,0,6,0.125899,.237101,40.984
30,20,100,0,7,0.126551,.237449,40.984
30,20,100,0,8,0.125897,.263103,40.984
30,20,100,0,9,0.126021,.247979,40.984
30,20,100,0,10,0.125132,.231868,40.984
30,20,100,0,11,0.125982,.234018,40.984
30,20,100,0,12,0.133577,.234423,40.984
30,20,100,0,13,0.125226,.226774,40.984
30,20,100,0,14,0.124944,.237056,40.984
30,20,100,0,15,0.126185,.229815,40.984
30,20,100,0,16,0.127031,.251969,40.984
30,20,100,0,17,0.127277,.231723,40.984
30,20,100,0,18,0.125898,.251102,40.984
30,20,100,0,19,0.125554,.240446,40.984
30,20,100,0,20,0.124952,.236048,40.984
30,20,100,0,21,0.128096,.241904,40.984
30,20,100,0,22,0.126454,.247546,40.984
30,20,100,0,23,0.125664,.231336,40.984
30,20,100,0,24,0.126343,.229657,40.984
30,20,100,0,25,0.125753,.237247,40.984
30,20,100,0,26,0.124854,.240146,40.984
30,20,100,0,27,0.125508,.233492,40.984
30,20,100,0,28,0.127247,.238753,40.984
30,20,100,0,29,0.126827,.236173,40.984
30,20,100,0,30,0.125735,.224265,40.984
30,20,100,0,31,0.125467,.227533,40.984
30,20,100,0,32,0.125243,.235757,40.984
30,20,100,0,33,0.125153,.234847,40.984
30,20,100,0,34,0.129224,.231776,40.984
30,20,100,0,35,0.125705,.244295,40.984
30,20,100,0,36,0.126969,.232031,40.984
30,20,100,0,37,0.127548,.233452,40.984
30,20,100,0,38,0.125419,.236581,40.984
30,20,100,0,39,0.124209,.227791,40.984
30,20,100,0,40,0.127305,.378695,40.984
30,20,100,0,41,0.125075,.330925,40.984
30,20,100,0,42,0.125901,.507099,40.984
30,20,100,0,43,0.124859,.229141,40.984
30,20,100,0,44,0.125424,.233576,40.984
30,20,100,0,45,0.127490,.236510,40.984
30,20,100,0,46,0.124842,.238158,40.984
30,20,100,0,47,0.126814,.240186,40.984
30,20,100,0,48,0.125483,.250517,40.984
30,20,100,0,49,0.125476,.232524,40.984
30,20,100,0,50,0.126255,.236745,40.984
30,20,100,0,51,0.125902,.256098,40.984
30,20,100,0,52,0.126028,.229972,40.984
30,20,100,0,53,0.126072,.231928,40.984
30,20,100,0,54,0.126191,.237809,40.984
30,20,100,0,55,0.126508,.236492,40.984
30,20,100,0,56,0.127426,.232574,40.984
30,20,100,0,57,0.126256,.235744,40.984
30,20,100,0,58,0.125543,.235457,40.984
30,20,100,0,59,0.125471,.227529,40.984
30,20,100,0,60,0.126082,.242918,40.984
30,20,100,0,61,0.126311,.233689,40.984
30,20,100,0,62,0.126222,.230778,40.984
30,20,100,0,63,0.126074,.224926,40.984
30,20,100,0,64,0.126171,.323829,40.984
30,20,100,0,65,0.125457,.839543,40.984
30,20,100,0,66,0.125103,.901897,40.984
30,20,100,0,67,0.125901,.588099,40.984
30,20,100,0,68,0.127991,.492009,40.984
30,20,100,0,69,0.125152,.229848,40.984
30,20,100,0,70,0.125446,.233554,40.984
30,20,100,0,71,0.126146,.237854,40.984
30,20,100,0,72,0.125268,.234732,40.984
30,20,100,0,73,0.126599,.234401,40.984
30,20,100,0,74,0.125898,.232102,40.984
30,20,100,0,75,0.125859,.235141,40.984
30,20,100,0,76,0.125287,.235713,40.984
30,20,100,0,77,0.125527,.234473,40.984
30,20,100,0,78,0.125109,.234891,40.984
30,20,100,0,79,0.126147,.236853,40.984
30,20,100,0,80,0.125350,.227650,40.984
30,20,100,0,81,0.125752,.241248,40.984
30,20,100,0,82,0.126286,.233714,40.984
30,20,100,0,83,0.125682,.237318,40.984
30,20,100,0,84,0.125503,.236497,40.984
30,20,100,0,85,0.125144,.233856,40.984
30,20,100,0,86,0.127790,.234210,40.984
30,20,100,0,87,0.127164,.234836,40.984
30,20,100,0,88,0.124322,.231678,40.984
30,20,100,0,89,0.125569,.231431,40.984
30,20,100,0,90,0.125585,.233415,40.984
30,20,100,0,91,0.125912,.233088,40.984
30,20,100,0,92,0.125007,.230993,40.984
30,20,100,0,93,0.126760,.235240,40.984
30,20,100,0,94,0.125765,.244235,40.984
30,20,100,0,95,0.125610,.257390,40.984
30,20,100,0,96,0.126449,.234551,40.984
30,20,100,0,97,0.125573,.230427,40.984
30,20,100,0,98,0.125322,.227678,40.984
30,20,100,0,99,0.127012,.235988,40.984
30,20,100,0,100,0.127208,.232792,40.984
