dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
100,60,10,0,1,13.597866,1.109134,147.702
100,60,10,0,2,13.723370,1.113630,147.702
100,60,10,0,3,13.606996,1.239004,147.702
100,60,10,0,4,13.458717,1.306283,147.702
100,60,10,0,5,13.669601,1.046399,147.702
100,60,10,0,6,13.612703,1.145297,147.702
100,60,10,0,7,13.403031,1.059969,147.702
100,60,10,0,8,13.701390,1.168610,147.702
100,60,10,0,9,13.677066,1.143934,147.702
100,60,10,0,10,13.513055,1.115945,147.702
