dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
90,50,10,5,1,8.323386,.241614,130.960
90,50,10,5,2,8.260118,.294882,130.960
90,50,10,5,3,8.207088,.282912,130.960
90,50,10,5,4,8.266110,.244890,130.960
90,50,10,5,5,8.317949,.297051,130.960
90,50,10,5,6,8.145720,.268280,130.960
90,50,10,5,7,8.213201,.415799,130.960
90,50,10,5,8,8.248587,.327413,130.960
90,50,10,5,9,8.171687,.324313,130.960
90,50,10,5,10,8.340883,.329117,130.960
