dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,startTime,endTime,total_time_spent
15,10,10,10,1,1712379303.194,1712379305.322,106.816
15,10,10,10,2,1712379315.357,1712379317.154,106.816
15,10,10,10,3,1712379327.184,1712379328.881,106.816
15,10,10,10,4,1712379338.923,1712379340.613,106.816
15,10,10,10,5,1712379350.674,1712379352.092,106.816
15,10,10,10,6,1712379362.177,1712379363.464,106.816
15,10,10,10,7,1712379373.514,1712379374.838,106.816
15,10,10,10,8,1712379384.900,1712379387.296,106.816
15,10,10,10,9,1712379397.342,1712379398.559,106.816
15,10,10,10,10,1712379408.615,1712379409.971,106.816
