dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
15,10,10,10,1,0.008279,.345721,93.597
15,10,10,10,2,0.008299,.258701,93.597
15,10,10,10,3,0.008814,.252186,93.597
15,10,10,10,4,0.008340,.251660,93.597
15,10,10,10,5,0.008655,.280345,93.597
15,10,10,10,6,0.008308,.266692,93.597
15,10,10,10,7,0.008380,.547620,93.597
15,10,10,10,8,0.008480,.256520,93.597
15,10,10,10,9,0.008363,.267637,93.597
15,10,10,10,10,0.008295,.265705,93.597
